hotel_id,hotel_name,accomodation,star_rating,public_rating,review_count,review_rating,room_count,room_type,room_area,room_facilities,hotel_facilities,additional_info,hotel_description,point_of_interest,latitude,longitude,address,area,city,state,price,hotel_image
416,Chitrakuta Meadows,Hotel,1,0,0,0,5,Standard Room,,Room Service |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Breakfast Available (surcharge)| Hot / Cold Running Water|HD / LCD Satellite TV,Doctor on Call|Parking Facilities Available|Front Desk|Locker Facility|Luggage Storage|Doorman|Medical Assistance Available|Nature Walk|RO Water Purification System|Parking Facility|Room Service|Trekking,Room Service,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances.,Mandagadde Bird Sanctuary|B H Road|Kodachadri Hill|Jog Falls|Shivappanaika Palace Museum,13.9299299,75.568101,"Sampekatte - Kodachadri Road, Post Mathikai,Hosanagar taluk , Dt. Shimoga",B H Road,Shimoga,Karnataka,12357,6
417,Chandramukuta homestay,Homestay,0,0,0,0,15,Standard Room,,Room Service |Basic Bathroom Amenities|Ceiling Fan,Games Zone|Internet Access - Surcharge|Parking Facilities Available|Pets Allowed|Front Desk|Locker Facility|Local Tour / Travel Desk|Power Backup|Gardens|Suitable For Children|Separate Sitting Area|Kitchen available (home cook food on request)|Fire Place Available |Picnic Area|Safari|Nature Walk|Smoking Area |Veranda|Open Air Restaurant / Dining |Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|Extra Person / Child - Share the same room|Kids Play Zone|Campfire / Bon Fire|Food Facility| Drivers Rest Room|Internet Access Free|Postal / Parcel Services|Family Room|Room Service (24 Hours)| Cook Services|Guide / Sightseeing Service|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Internet Access|Room Service|Trekking|Recreation Zone,Room Service|Internet Access|Free Internet,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Music will be allowed till 10.30pm. Food Services are available only till 10:00 PM.,Manikyadhara Falls|Mallandur,13.315258,75.7754018,"Nethravathi Estate, Makodu village Mallandur",Mallandur,Chikmagalur,Karnataka,7085,22
418,Camp Sarovar Ganga,Tent,1,0,0,0,16,luxury Tent,0 X 0 Sq.ft.,Room Service |Basic Bathroom Amenities|Ceiling Fan| Hot / Cold Running Water|Housekeeping|Desk in Room|Toiletries|Window Opens|Attached Bathroom,Doctor on Call|Lobby|Front Desk|Local Tour / Travel Desk|24 Hour Front Desk|Power Backup|Family Room|Room Service (24 Hours),Room Service,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly ALL GUESTS ARE REQUIRED TO PRESENT PROPER PHOTO IDENTIFICATION UPON CHECK IN. 2.The identity proof would include a valid Driving license/voter identity card/PAN card, etc. Valid Passport mandatory for all Foreign guests. 3.Booking rates will not be valid for Christmas and New year dates High season and long weekend dates extra supplement will be charged over and above the paid rates as per actual and hotel discretion.",Triveni Ghat|Haridwar Road|Kailas Ashram,30.1146663,78.3009966,Near Kailash Gate Police Chowki  Rishikesh,Haridwar Road,Rishikesh,Uttarakhand,7293,26
419,Blue Ginger Spa Resort,Resort,4,83,6,4.4,21,Tranquil Room,16 X 16 Sq.ft.,"Room Service |Balcony / Terrace|Bathrobe (on request) |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Video/ DVD/ CD Player Available|Ceiling Fan|Clothes Dryer|Crockery / Cutlery|Ensuite / Private Bathroom|Hairdryer (on request)|Heating Facility (on request) |Iron / Ironing board available|Tea Coffee Kettle / Maker|Full Kitchen|Mini bar - On Charge |Internet Connection In Room|Telephone|Shower Facility Available|Breakfast Available (surcharge)|Reading Lamps|Shower Caps Available|Mineral Water|Premium Beddings / Hypo-Allergenic |Shoe Shine| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Toiletries|Window Opens|Makeup / Shaving Mirror|Sofa Cum Bed Available|Primium Bathrooms|Premium Amenities / Toiletries|Shaving Kit /Dental Kit|Moisturiser|Handheld Showers|Separate Bathtubs And Shower|Bidet|Fruit Basket|Second Bathrooms|Patio - Property|Safe (on request)|Hill View from all Rooms|Coffee Table|Wardrobe|HD / LCD Satellite TV |Sofa Table / Extra Seats |Snacks / Beverage|International Switch Plugs (on request)|Private Garden|Soundproof Windows|TV|Rollaway Beds|Channel Music|Mirror|Luxurious Feather Mattresses|Custom Duvets / Linen|Utensils (on request)|Gas Cylinder - Chargeable|Local Calls Free|Stationery Kit|Dressing Area|Luggage Rack|Attached Bathroom|Bathtub|Closet|Bedside Table|Clothes Hook in Bathroom|Complete Bedding|Curtains/Shades|Daily Room Cleaning|Do-Not-Disturb Notice|Dustbins|Extra Toilteries on Demand|Ice Bucket on Demand|In-room Storage Space|Modern Toilet Facilities|Phone Messaging Services|Room Door Fitted with Lock and Key|Room with Window/Ventilation|Rooms with Attached Bathrooms|Sanitary Bin|Sufficient Lighting|Telephone in Toilet|Western Toilet Seat",Swimming Pool|Currency Exchange|Doctor on Call|Dry Cleaning|Games Zone|Health Club / Gym Facility Available|Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Spa On Site - Chargeable|Table Tennis|Major Credit Cards Accepted|24 Hour Front Desk|Welcome Drinks|Power Backup|Gardens|Suitable For Children|Massage Services |Nature Walk|Veranda|Campfire / Bon Fire|Food Facility|Room Service (24 Hours)|Internet / Fax (Reception area only)|Outdoor Parking - Secured|Parking Facility|Room Service|Speciality Restaurant |Suites,Room Service|Internet Access|Gym/Spa|Swimming Pool|Restaurant,"The standard check-in time is 01:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Terms and Conditions: It is mandatory for guests to present valid photo identification at the time of check-in.  As roads leading to the resort are off roads, hence you might experience a rocky/ hilly drive.",Vythiri,11.53973449,76.05296236,"Melepoonchola,Vythiri",Vythiri,Wayanad,Kerala,6554,8
420,BUXA VALLEY RESORT,Resort,0,0,0,0,11,COTTAGE ROOM,,"Room Service |Bathrobe (on request) |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Ensuite / Private Bathroom|Telephone|Shower Facility Available|Newspapers|Reading Lamps|Shower Caps Available|Mineral Water| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Toiletries|Slippers|TV",Concierge|Doctor on Call|Parking Facilities Available|Front Desk|24 Hour Front Desk|Luggage Storage|Doorman|Suitable For Children|Smoking Rooms|Floor Butler|Veranda|Food Facility|Newspapers In Lobby|Family Room|Room Service (24 Hours),Room Service,,Jalpaiguri Others,26.707656,89.5603257,"Buxa Valley Resort Santalabari, Buxa Tiger Reserve Jalpaiguri West Bengal",Jalpaiguri Others,Jalpaiguri,West Bengal,11524,23
421,Bunkstop Jaipur,Hostel,0,66,3,3.7,33,6 Bedded Dormitory (Male &amp; Female),15 X 15 Sq.ft.,Air Conditioning |Internet Connection In Room|Shared Bathroom|Breakfast Available (surcharge)| Hot / Cold Running Water,"Airport Transfer Available / Surcharge|Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Library|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Locker Facility|Non Smoking Hotel|Major Credit Cards Accepted|24 Hour Front Desk|Power Backup|Dance Performances (on demand)|Wake-up Call / Service|Grocery|Kitchen available (home cook food on request)|Safari|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Veranda|Transfers Available| Bike on Rent|Vegetarian Food / Jain Food Available|Car Rental|Water Dispenser Available|Taxi Services|Food Facility|Internet Access Free|Newspapers In Lobby|Spa Services Nearby| Cook Services|Air / Rail Booking|Guide / Sightseeing Service|RO Water Purification System|Outdoor Parking - Non Secured|Parking Facility|Internet Access|Recreation Zone|CCTV|First-Aid Kit at Front Desk|Full Time Operation for All 7 Days|Paid Transfers|Pest Control Facility|Public Restrooms|Stamps and Mailing Facility",Internet Access|Free Internet,The standard check-in time is 11:00 AM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly check in - check out 11:00 hours - 10:00 hours,Johari Bazar|Station Area/Sindhi Camp|Jantar Mantar|City Palace|Metropolitan Mall|Jaipur Railway Station|Hawa Mahal,26.9132858,75.8034465,"9, Bhawani singh lane , Sahkar marg , c-scheme,",Station Area/Sindhi Camp,Jaipur,Rajasthan,4114,7
422,Black Thunder Resort,Resort,2,91,23,3.9,30,Deluxe,,Room Service |Air Conditioning |Cable / Satellite / Pay TV available|Ensuite / Private Bathroom|Desk in Room|Safe - In - Room,Bar / Lounge |Business Center |Currency Exchange|Doctor on Call|Health Club / Gym Facility Available|Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Major Credit Cards Accepted|Express Check-In / Check-Out|Conference Facility |Massage Services |Room Service (24 Hours),Room Service|Gym/Spa|Restaurant,The standard check-in time is 10:00 AM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Ooty Main Road,11.4069933,76.714624,Ooty Main Road.,Ooty Main Road,Mettupalayam,Tamil Nadu,2824,24
423,Breathing Earth,Resort,4,0,0,0,12,Mud Houses,,"Alarm Clock|Cable / Satellite / Pay TV available|Ceiling Fan| Hot / Cold Running Water|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|TV",Swimming Pool|Health Club / Gym Facility Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Major Credit Cards Accepted|Power Backup|Gardens|Boating|Campfire / Bon Fire|Internet Access Free|Children's Park|Outdoor Parking - Secured|Recreation Zone,Gym/Spa|Swimming Pool|Restaurant|Free Internet,The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Others,22.368008,88.2717848,"Diamond Harbour Road, Kriparampur, West Bengal 743503",Others,Kolkata,West Bengal,6851,12
424,Bs Hive  Kadal,Resort,0,0,0,0,1,Dorm Room For 8 People,,"Video/ DVD/ CD Player Available|Clothes Dryer|Crockery / Cutlery|Heating Facility (on request) |Tea Coffee Kettle / Maker|Kitchenette|Stove / Oven|Shower Facility Available|Extra Bed, Towels, Linens, Bedding (on request)|Makeup / Shaving Mirror|Premium Amenities / Toiletries|Safe - In - Room |Coffee Table|Split A.C's|Private Garden|Utensils (on request)|Induction Plate|Movies &amp; Games on demand|Stationery Kit|Attached Bathroom|Curtains/Shades|Daily Room Cleaning|Dustbins|Ice Bucket on Demand|In-Room Safe|Modern Toilet Facilities|Room Door Fitted with Lock and Key|Room with Window/Ventilation|Rooms with Attached Bathrooms|Sanitary Bin|Sufficient Lighting|Western Toilet Seat|Breakfast chargeable",Basketball Court |Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Front Desk|Locker Facility|Power Backup|Gardens|Catering|Kitchen available (home cook food on request)|Marina On Site|Nature Walk|Veranda|Open Air Restaurant / Dining |Badminttion Court|Campfire / Bon Fire|Children's Park|Whirlpool Bath / Shower Cubicle|Outdoor Parking - Secured|Parking Facility|Room Service,Room Service|Internet Access,"The standard check-in time is 06:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Booking rates will not be valid for Christmas and New year dates, High season and long weekend dates , extra supplement will be charged over and above the paid rates as per actual and hotel discretion",Indira Nagar MRTS Station|Anna University|Others|Broken bridge|Annai Vailankanni Church|TIDEL park|Kotturpuram Railway Station|Adyar Park|Gandhi Mandapam,12.70754325,80.22828585,"Nivab Beach 4th main road, Vadanemmeli, ECR",Others,Chennai,Tamil Nadu,8425,10
425,Castle Rock,Bungalow,3,82,50,4.3,13,Deluxe Room,18 X 14 Sq.ft.,Room Service |Balcony / Terrace|Ceiling Fan|Telephone|Breakfast Available (surcharge)| Hot / Cold Running Water|Housekeeping|Desk in Room|Toiletries|Safe - In - Room |Coffee Table|HD / LCD Satellite TV |TV|Mirror|Attached Bathroom|Bedside Table|Daily Room Cleaning|Do-Not-Disturb Notice|In-room Storage Space|In-Room Safe|Modern Toilet Facilities|Western Toilet Seat,Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Welcome Drinks|Power Backup|Gardens|Jacuzzi|Internet Access Free|Room Service (24 Hours)|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Room Service|Public Restrooms|Speciality Restaurant,Room Service|Internet Access|Restaurant|Free Internet,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly The standard check- in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be charged by the hotel.,Aru Valley|Chandanwari Road,33.9813634,75.3200528,"RAFTING POINT , PAHALGAM",Chandanwari Road,Pahalgam,Jammu and Kashmir,12524,7
426,Cama Rajputana Club Resort,Resort,3,33,3,3.3,42,Superior A/c Room,,Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ensuite / Private Bathroom|Hairdryer (on request)|Heating Facility (on request) |Tea Coffee Kettle / Maker|Refrigerator|Telephone,Swimming Pool|Banquet Facilities|Bar / Lounge |Billiards|Doctor on Call|Dry Cleaning|Games Zone|Health Club / Gym Facility Available|Internet Access - Surcharge|Laundry Service Available|Library|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Table Tennis|Sauna|Conference Facility |Room Service (24 Hours),Room Service|Internet Access|Gym/Spa|Swimming Pool|Restaurant,"The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly In case of an early departure the hotel has the right to charge a minimum one night and a maximum of 100% of the total room night actually booked. Bookings done during Festive periods are 100% Non Refundable (Holi-Dhuleti, Independence-Janmashtmi, Gandhi jayanti, Dusshera, Diwali, Christmas and New Year Period)",Nakki Lake|Wild Life Sanctuary|Delwara Temple|Adhar Devi Temple|Toad Rock|Shankar Math|Delwara Road|Dilwara Temples,24.59975208,72.71279068,Adhar Devi Road,Delwara Road,Mount Abu,Rajasthan,8893,16
427,CHAWLHNA HOTEL,Hotel,0,0,0,0,38,Standard Room,,Basic Bathroom Amenities|Cable / Satellite / Pay TV available,,,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Lengpui Airport|Zarkawt,23.7410147,92.7167939,"Zarkawt Road, Aizawl H O, Aizawl - 796001",Zarkawt,Aizawl,Mizoram,5550,29
428,Chembakassery Homestay,Homestay,0,0,0,0,5,Suit Room,,,"Airport Transfer Available / Surcharge|Babysitting/ Child Care (surcharge)|Barbecue Area|Currency Exchange|Disabled Friendly Facilities |Dry Cleaning|Laundry Service Available|Lobby|Non Smoking Rooms|Parking Facilities Available|Pets Allowed|Front Desk|Locker Facility|Non Smoking Hotel|Spa On Site - Chargeable|Local Tour / Travel Desk|24 Hour Front Desk|Luggage Storage|Medical Assistance Available|Welcome Drinks|Power Backup|Express Check-In / Check-Out|Gardens|Wedding Services Facility|Dance Performances (on demand)|Multi Lingual Staff|Wake-up Call / Service|Suitable For Children|Separate Sitting Area|Coffee Shop / Cafe|Kitchen available (home cook food on request)|Free Local Calls|Massage Services |Safari|Boating|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Nature Walk|Smoking Area |Veranda|Open Air Restaurant / Dining | Bike on Rent|Veg / Non Veg Kitchens Separate |In House Events |Vegetarian Food / Jain Food Available|Extra Person / Child - Share the same room|Village Visit ( Chargeable )|Car Rental|Express Laundry|Kids Play Zone|Meditation Room|Taxi Services|City Shuttle Service|Campfire / Bon Fire|Food Facility|Internet Access Free|Newspapers In Lobby|Yoga Hall / Classes|Postal / Parcel Services|Family Room|Room Service (24 Hours)|Spa Services Nearby| Cook Services|Air / Rail Booking|Baggage Room|Courier Service|Guide / Sightseeing Service|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Internet Access|Restaurant|Room Service|Ayurvedic Facilities |Trekking|First-Aid Kit at Front Desk|Full Time Operation for All 7 Days|Security at All Hotel Entrances|Speciality Restaurant |Suites",Room Service|Internet Access|Restaurant|Free Internet,The standard check-in time is 01:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances.,,9.607974872,77.1613829,"Nh 183, Kollampattada, Kumily",Kumily,Thekkady,Kerala,2318,28
429,Chandrakant Home Stay,Homestay,0,0,0,0,3,Standard Non Ac,,Room Service |Alarm Clock|Basic Bathroom Amenities|Mineral Water|Makeup / Shaving Mirror|Mirror|Attached Bathroom|Clothes Hook in Bathroom|Disabled Friendly Bathrooms|Rooms with Attached Bathrooms,Doctor on Call|Parking Facilities Available|Non Smoking Hotel|Luggage Storage|Family Room|Baggage Room|Room Service|Public Restrooms,Room Service,The standard check-in time is 12:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances,Tarkarli|Malvan Marine Wildlife Sanctuary|Snorkeling|Waradkar Guruji Road,16.0630693,73.471054,"Waradkar Guruji Road, Revatale, Malvan",Waradkar Guruji Road,Malwan,Maharashtra,5258,12
430,Chumbi Residency,Hotel,3,0,0,0,26,Jade Select Room,12 X 14 Sq.ft.,Room Service |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ensuite / Private Bathroom|Hairdryer (on request)|Heating Facility (on request) |Telephone|Newspapers| Hot / Cold Running Water|Housekeeping|Desk in Room|Toiletries|Coffee Table|Wardrobe|HD / LCD Satellite TV |Sofa Table / Extra Seats |TV|Attached Bathroom,Bar / Lounge |Business Center |Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |24 Hour Front Desk|Power Backup|Conference Facility |Newspapers In Lobby|Room Service (24 Hours)|Outdoor Parking - Secured|Parking Facility,Room Service|Restaurant,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,Bagdogra Airport|Hanuman Tok|Tashi View point|Darjeeling|Pelling|Siliguri|Kalimpong|Railway Station (New Jalpaiguri )|Tibet Road|Paljor Stadium|Raj Bhawan|Denzong Cinema,27.3293508,88.6126041,"Tibet Road,",Tibet Road,Gangtok,Sikkim,2645,8
431,Camp River View,Tent,0,0,0,0,18,Shivpuri Tents,,Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Telephone|Newspapers|Mineral Water| Hot / Cold Running Water|Desk in Room|Breakfast Available|TV|Mirror|Luggage Rack|Closet|Do-Not-Disturb Notice|Dustbins,Doctor on Call|Lobby|Front Desk|Local Tour / Travel Desk|24 Hour Front Desk|Welcome Drinks|Power Backup|Conference Facility |Guide / Sightseeing Service|Public Restrooms,Room Service,The standard check-in time is 10:00 AM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances,Rishikesh Badrinath Road,30.07949258,78.4422259,"28 Mile Stone,Village- Atali, Badrinath Highway,  Rishikesh",Rishikesh Badrinath Road,Rishikesh,Uttarakhand,8464,30
432,Camp Golden Tower,Tent,1,0,0,0,12,Deluxe Tent,,Basic Bathroom Amenities|Ceiling Fan|Mineral Water| Hot / Cold Running Water|Housekeeping|Breakfast Available|Patio - Property|Coffee Table|Snacks / Beverage|Mirror|Attached Bathroom|Bedside Table|Western Toilet Seat,Laundry Service Available|Front Desk|Multi Cuisine Restaurant |Welcome Drinks|Outdoor Parking - Secured,Restaurant,"The standard check-in time is 03:00 PM and the standard check-out time is 09:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory supplement on Christmas, New Years eve and other festive periods. Any such supplements need to be paid at the hotel. As per the govt. guidelines valid govt. issued id proofs are required to be presented on C/in.",Khuri,26.614811,70.716087,"Near Pal Rajah Resort ,, Barna Village Khuri Jaisalmer India",Khuri,Jaisalmer,Rajasthan,9364,25
433,Cambria Hotel,Hotel,0,100,1,4.6,21,Deluxe Room,,"Room Service |Air Conditioning |Balcony / Terrace|Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Ensuite / Private Bathroom|Internet Connection In Room|Telephone|Shower Facility Available|Newspapers| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Window Opens|Makeup / Shaving Mirror|HD / LCD Satellite TV |TV",Airport Transfer Available / Surcharge|Business Center |Currency Exchange|Dry Cleaning|Laundry Service Available|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Doorman|Medical Assistance Available|Welcome Drinks|Taxi Services|Internet Access Free|Newspapers In Lobby|Family Room|Room Service (24 Hours)|Parking Facility,Room Service|Free Internet,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly 1.	Any supplements need to be paid directly at the hotel. 2.	All guests requested to carry Valid ID proof for Check Inn. 3.	Couple Guests with Local ID's are not allowed to check inn.",Sahara Mall|Gallaria Market|Guru Dronacharya Metro Station|Ambience Mall|Vipul Agora Mall|Head Post Office|Passport Seva Kendra|Dlf Phase I I I|Fluid Gym|Sikandarpur Metro Station|Iffco Chowk|MG Road metro Station,28.4923389,77.1079088,"69-A,Malsouri Avenue,Dlf Phase III Gurgaon",Dlf Phase I I I,Gurgaon,Haryana,7404,20
434,Budd Rooms,Guest House,0,90,11,4.5,2,Standard Room,,Room Service |TV|Mirror|Attached Bathroom|Daily Room Cleaning|Dustbins|Extra Toilteries on Demand,Doctor on Call|Laundry Service Available|Parking Facilities Available|Front Desk|Power Backup|Internet Access Free|Newspapers In Lobby|Outdoor Parking - Secured|Parking Facility|Room Service|Fire Safety|First-Aid Kit at Front Desk|Security at All Hotel Entrances,Room Service|Free Internet,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances,Others|Kingdom of Dreams|Tau Devi Lal Stadium|DLF Star Mall|Iffco Chowk|Leisure Valley Park|Gurgaon Bus Terminus|Sahara Mall|Gallaria Market|Paras Hospitals|Fortis Memorial Research Institute|Max Hospital|Fluid Gym|HSBC Bank|City Centre Mall|Aarvy Hospital|Cyber Park|Huda City Center Metro Station|Vipul Agora Mall|Signature Tower|Huda Gymkhana Club|Sikandarpur Metro Station|Oysters Beach Water Park|Passport Seva Kendra|Medanta Hospital|MG Road metro Station|Star Mall|Amity International School|Sadar Bazar|Artemis Hospital|Omaxe Celebration Mall,28.4330113,77.0471068,Hs No. 842 Sector 47 Gurgaon,Others,Gurgaon,Haryana,2913,26
435,Cine City hotel,Hotel,1,57,19,3.8,20,Deluxe,,,Airport Transfer Available / Surcharge|Bar / Lounge |Business Center |Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Valet service|Major Credit Cards Accepted|24 Hour Front Desk|Medical Assistance Available|Air-Conditioning - Central|Welcome Drinks|Power Backup|Conference Facility |Rooftop Garden|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Parking Facility,Room Service|Internet Access|Restaurant|Free Internet,The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Most hotels do not allow unmarried / unrelated couples to check-in. This is at full discretion of the hotel management. No refund would be applicable in case the hotel denies check-in under such circumstances .,Chennai City Centre|Oberoi Hotel,13.0509809,80.2272879,"28, 1st Main Road, United India Colony, Kodambakkam.",Chennai City Centre,Chennai,Tamil Nadu,12465,15
436,Cherry Guest House,Guest House,0,0,0,0,9,Super Deluxe,,Room Service |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan,,,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,"Paljor Stadium|National Highway - 31-A|Manipal Central Referral Hospital|New College Building, SMIMS|Raj Bhawan|Denzong Cinema",27.3282682,88.6114215,"Rai Cottage Complex,Church Road",National Highway - 31-A,Gangtok,Sikkim,7115,1
437,Casa de Bengaluru,Hotel,3,89,28,4.3,40,Deluxe Room,,Alarm Clock|Video/ DVD/ CD Player Available|Hairdryer (on request)|Tea Coffee Kettle / Maker|Kitchenette|Microwave Oven Available |Internet Connection In Room|Refrigerator|HD / LCD Satellite TV,Babysitting/ Child Care (surcharge)|Banquet Facilities|Bar / Lounge |Business Center |Doctor on Call|Health Club / Gym Facility Available|Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |24 Hour Front Desk|Conference Facility |Internet Access Free|Room Service (24 Hours)|Airport Transfer Free|Parking Facility,Room Service|Gym/Spa|Restaurant|Free Internet,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,Kormangala|Indian Institute of Astrophysics|Koramangala,12.9316556,77.6226959,"Casa de Bengaluru,873, 17E Main Road, 6th Block,Koramangala",Koramangala,Bangalore,Karnataka,6226,21
